osmid,lat,lon
5975352874,7.9713773,6.9197237
5975352875,7.972426,6.9187412
10242532908,8.0646284,6.8139118
5975352876,7.9729322,6.9181857
10157590062,7.9778954,6.9300073
5975352878,7.971802,6.9186696
10240353836,8.0471396,6.8378019
5975352881,7.9707534,6.9188348
10209912366,8.0149948,6.8889314
10209912368,8.0153434,6.8885726
10240353841,8.0469535,6.8392844
10209912373,8.0147676,6.8879571
10117477945,8.0001053,6.928987
10240353851,8.0465898,6.8408648
10240353852,8.0466458,6.8409617
10209922621,8.0122961,6.8823082
7869902398,8.0892798,6.7641866
10214200897,7.9741287,6.9403074
6130509383,7.83182,6.7809132
10184339016,8.0592967,6.8528768
10214219341,7.9668313,6.9657236
10227992150,7.9284055,6.9170558
10214219351,7.9662314,6.96526
10242532952,8.0665291,6.8126012
6003295834,7.8571977,6.9442893
10117477980,8.0100743,6.9397867
10214219357,7.9661993,6.9658162
10156752478,7.9829542,6.9751905
10214219363,7.9661179,6.9653595
10242532963,8.0666369,6.8141019
6067363433,8.0207646,6.8551404
10920255082,7.8381361,6.7900894
10214221419,7.9662065,6.9656241
10240323181,8.0651084,6.8411981
10117477999,8.0108606,6.9354951
10214221424,7.9662023,6.9658261
10265030256,8.0156259,6.8538431
10214221429,7.9657153,6.9657
6025436789,8.0987689,6.7539585
10156942969,7.998122,6.9042169
10157590141,7.9708089,6.9202875
10157590157,7.9872851,6.9210005
10214979217,7.98571,6.9040221
10164528785,7.9834287,6.9816362
5210351254,8.0474888,6.8343108
10240169623,8.0660287,6.8127322
10240169624,8.0704074,6.8098082
5975250586,8.0221801,6.8214032
